Recipe Name,Ingredients,Time to cook,Cuisine,Instructions,Cleaned-Ingredients,Ingredient-count,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1/2 teaspoon Turmeric powder (Haldi),1 cup Spinach - chopped,1/2 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/4 teaspoon Salt,Water - as required for dough,1 cup Whole Wheat Flour,Sunflower Oil - as required for rotis,1/2 teaspoon Cumin seeds (Jeera)",35,North Indian Recipes,"To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them.
In a large bowl, add flour, pumpkin, spinach, spice powders, and salt.
Combine them well.Add water little by little and mix them well to form a tight dough.
Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls.
Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame.
Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough.
Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney.","salt,wheat flour,spinach,red chilli powder,sunflower oil rotis,cumin seeds (jeera),parangikai pumpkin (red preferably),coriander powder,water dough,turmeric powder",10,684.25,7.76,1.42,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9
Masala Sandwich Recipe With Rocket Leaves,"2 tablespoons Coriander (Dhania) Leaves - finely chopped,2 Green Bell Pepper (Capsicum) - julienned,2 Potatoes (Aloo) - boiled and mashed,Salt - to taste,Rocket leaves - or salad leaves for the sandwich,1 inch Ginger - grated,3 Tomatoes - finely chopped,2 cloves Garlic - grated,100 grams Paneer (Homemade Cottage Cheese),Pav bhaji masala - to taste,French bread - or rye bread to make sandwiches,1 Onion - julienned",30,Fusion,"To begin making the Masala Sandwich with Rocket Leaves, we will first make the masala for the sandwich.Heat a teaspoon of oil in a wok/kadai, add the onions, ginger, garlic, capsicum and saute them on low to medium heat until soft and tender.
Add the tomatoes, and stir fry until softened.
This will take 4 to 5 minutes.
Once the tomatoes have softened, add the mashed potatoes, paneer and the pav bhaji masala.
Stir well to combine.
Check the salt and spices and adjust to suit your taste.Cover the pan, turn the heat to low and cook for 3 to 4 minutes.
Once done, turn off the heat and stir in the coriander leaves.Slice the french rolls into half lengthwise and spread butter on each half.
Toast them on a skillet until lightly browned.Once the bread is toasted spread the Bombay Masala mixture on one half , place the rocket leaves and close the sandwich with the other half on top and press gently so that the sandwich holds together.Serve the Masala Sandwich with Rocket Leaves by cutting them into half.Serve them hot and fresh with Strawberry Yogurt Lassi Recipe or Coffee Banana Oats Smoothie Recipe for breakfast.","tomato,pav bhaji masala,salt,ginger,french bread rye bread,coriander (dhania) leaves,paneer,rocket leaves salad leaves the sandwich,cloves garlic,onion,green bell pepper (capsicum),potato (aloo)",12,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42
Mango Donut Cake Recipe With Chocolate Glaze,"3 Sugar - powdered,1-1/2 teaspoons Baking powder,1-1/2 cups Vivatta Maida,1/4 teaspoon Salt,1 teaspoon Vanilla Extract,1/4 cup Fresh cream,1/4 cup Sugar,1/4 cup Sunflower Oil,3/4 cup Mango Pulp (Puree),2 tablespoons Cocoa Powder,1/4 teaspoon Baking soda,150 grams Dark chocolate - chopped",51,Continental,"To begin making the Mango Donut Cake Recipe With Chocolate Glaze, preheat the oven to 180 deg C.
Grease a donut (doughnut) pan with oil or line up with butter paper.Sift the maida baking powder, baking soda and salt in a bowl.
Mix everything and keep it aside.In a mixing bowl, take mango puree along with sugar.
Mix well until sugar dissolves completely.
Next add oil, vanilla essence and mix well again.Add the mango mixture into the sifted dry flour mixture, fold gently until a smooth batter texture.
Now pour the Mango donut cake batter equally into the donut pan slots.Bake for 25 minutes in the preheated oven at 180 degree C.
Take the Mango Donut Cake from the oven and let them cool down a bit.While the Mango Donut Cake is baking, add the chocolates and the cream into the saucepan.
Melt the dark chocolate until you get a smooth Chocolate Glaze.Once the Mango Donut Cake is done, remove from the pan and allow it to cool.
Once cooled, hold the mango donut cake upside down, dip the top surface of the cake in the glaze and pull it up.Let the extra glaze dribble and then immediately turn glaze side up and keep on a cooling rack for the glaze to harden.
Repeat this process for rest of the Mango Donut Cake.
Serve the donut cake after the glaze hardens.Serve Mango Donut Cake Recipe With Chocolate Glaze along with Grilled Stuffed Mushrooms Recipe With Onion Parmesan & Herbs, Heart Shaped Tea Sandwiches and Adrak Chai for your next tea party.","baking powder,salt,mango pulp (puree),baking soda,vivatta maida,sugar,vanilla,dark chocolate,cocoa powder,sunflower oil",10,335.61,45.14,6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"Fresh cream - as required for garnishing,1 cup All Purpose Flour (Maida),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 cup Curd (Dahi / Yogurt),1 Mace (Javitri),1 cup Onion - chopped,2 tablespoons Sunflower Oil,1/2 teaspoons Ajwain (Carom seeds),12 Whole cashews,1 teaspoon Ginger Garlic Paste,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,1/2 teaspoon Sugar,1/2 teaspoon Cumin seeds (Jeera),1 cup Paneer (Homemade Cottage Cheese) - crumbled,1 cup Green peas (Matar),1 cup Homemade tomato puree,Sunflower Oil - as required for frying,1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),2 Cloves (Laung),1/2 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - as required,2 teaspoons Sunflower Oil,1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Garam masala powder,Salt and Pepper - to taste,1 teaspoon Amchur (Dry Mango Powder)",80,North Indian Recipes,"To begin making the Matar Paneer Kachori Korma Recipe, we will firstly make the dough for kachori.Dough for the KachoriMix maida, salt, carom seeds, oil in a bowl and mix till you get crumbly texture.
Then add cold water to this slowly.
The dough has to be stiff and shouldn't be kneaded for long.Once the dough is done, let this rest for 15 to 20 minutes.
The next step is to make the filling for Kachori.
Heat oil in a heavy bottomed pan, add green peas, salt and all dry spices including turmeric powder, red chilli powder, coriander powder, amchur powder, salt and pepper.
Let it cook for about 4 to 5 minutes while slightly mashing the peas in between.
After 4 minutes, add the crumbled paneer to this and mix well.
Let it simmer for 2 minutes and take it out in a bowl.
Keep it aside to cool down.Take a ball size dough and roll it like a roti but slightly thicker.
Take a 2.5"" diameter lid or cookie cutter and cut the circles.
Now add a small teaspoon of the paneer and matar mixture in the middle and seal them using water on the edges.
Pat them a little to make it flat and keep them aside.To make the Kachoris, heat the required oil in a frying pan.
When the oil is hot, add the kachoris and fry them for 5 to 6 minutes until they turn golden brown and crispy on both the sides.Once done, take them out on a paper towel to absorb the excess oil and place aside.*Gravy / Korma for the dishWe will first make the onion paste, tomato paste and cashew paste separately in a mixer.
Keep aside.
In a wide bottomed pan, add oil, let it heat, then add the whole spices including cloves, mace, cumin seeds, cardamom, cinnamon stick and let it crackle.
This will take about a minute.To the pan, add turmeric powder, red chilli powder, ginger garlic paste, the freshly ground onion paste and let it cook for about 4 to 5 minutes until the raw smell of onions go away.
Add in the tomato puree and let it cook until the tomatoes are well combined into the gravy.
Next, add the cashew paste to tomato onion mixture and stir well to get a uniform mixture.
Switch the heat to low, add the beaten curd and let it cook for 2 minutes.
Next add 1/2 cup of water or more according to the gravy consistency.
Finally add garam masala powder, sugar, salt to taste and let it cook for 5 minutes on low heat.
Once done, add the mini kachoris to the gravy and garnish it with chopped coriander leaves.Serve Matar Paneer Kachori Korma with Boondi Raita and Phulka for a weekday meal.Serve Matar Paneer Kachori Korma along with Dal Makhani, Palak Raita, Phulka, Jeera Rice and Kachumber Salad for a meal, when you have guests coming home for dinner or you are organizing a house party.","tomato,coriander (dhania) leaves,ajwain (carom seeds),onion,cumin seeds (jeera),turmeric powder,sunflower oil,salt,cardamom (elaichi) podsseeds,mace (javitri),cashews,flour (maida),garam masala powder,red chilli powder,curd,sugar,pepper,kasuri methi (dried fenugreek leaves),amchur (dry mango powder),paneer,green peas (matar),ginger garlic paste,cinnamon stick (dalchini),coriander powder,cloves (laung)",25,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Roasted Cauliflower Recipe,"3 tablespoon Extra Virgin Olive Oil,1/4 cup Anardana Powder (Pomegranate Seed Powder),Salt - to taste,1 teaspoon Coriander Powder (Dhania),2 teaspoon Cumin seeds (Jeera) - roasted and crushed,2 cups Cauliflower (gobi),4 Garlic - sliced,2 teaspoon Black pepper powder - or red chilli powder,2 tablespoons Pomegranate molasses - orhoney (optional but recommended),Fresh Herbs - Handful of herbs of choice like basil",40,South Indian Recipes,"To begin making the roasted cauliflower, first pre-heat the oven to 200 degree celsius.In a mixing bowl, toss together the olive oil, garlic and cauliflower florets.
Sprinkle salt as required.Place these florets on a baking tray and roast till they just soften (about 10-12 minutes).
Take the tray out of the oven.Add the coriander powder, cumin and black pepper powder.Mix and place it back in the oven to roast for another 10 to 12 minutes or till the cauliflower is cooked and caramelizes or slightly turns brown.
Take it out onto a serving dish.Garnish with pomegranate seeds, herbs and drizzle some molasses or honey over it.
Serve immediately.Serve Roasted Cauliflower as a starter or as a side dish along with Panchmel Dal and Phulkas for a weekday lunch or dinner","herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder (pomegranate seed powder),cauliflower (gobi),virgin olive oil,garlic,cumin seeds (jeera),pomegranate molasses or,coriander powder",10,78.68,2.02,2.05,6.7,0.44,3.53,120.19,24.47,0.95,47.14,46.0
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"2 Cardamom (Elaichi) Pods/Seeds,2 1/2 liter Milk,2 tablespoons Rice flour,1 tablespoon Raisins,pinch Salt,1/2 cup Poha (Flattened rice),8-10 Mixed nuts - almonds/cashews,1 cup Nolen Gur - or brown sugar,1 pinch Saffron strands - and a little more for garnish",45,Bengali Recipes,"To cook Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur, wash poha/chirer with water and strain the poha.Soak the washed and drained poha/chirer in a cup of milk.Also mix 1/2 cup of milk with rice flour and keep aside.Soak saffron in a little milk.
Keep aside.Boil the rest of milk and cardamom pods together in a Saucepan and bring to boil.
Stir occasionally.Add rice flour mix in boiling milk and stir constantly.Boil about 12-15 minutes till the rice flour is cooked and milk is condensed.Now add milk soaked flattened rice/chirer then add the milk soaked saffron.Cook chirer payesh for 15 minutes more or when flattened rice/chirer is cooked well and milk thickens considerably, add nolen gur or brown sugar.Stir it and cook it till the date jaggery/brown sugar dissolves.
Then add chopped almonds/cashews and a pinch of salt, cook for a minute and remove from heat.Pour the Bengali Chirer Payesh/Poha Pudding Recipe With Nolen Gur in a serving bowl, garnish with saffron strands/almonds/cashews and raisins and serve hot or chilled with sumptuous meal of Cholar Dal Recipe/ Aar Macher Jhol Recipe and jeera rice for dinner.","salt,nolen gur brown sugar,cardamom (elaichi) podsseeds,poha (flattened rice),milk,saffron strands,raisins,mixed nuts almondscashews,rice flour",9,294.53,35.05,6.09,14.14,0.87,3.72,377.1,37.67,3.01,6.62,11.96
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe," 1 tsp coriander powder, 1 cup wheat flour, 1 tsp turmeric powder, 1 tsp mango powder Powder,1/2 cup green peas - make paste, water - lukewarm, cut 1 inch ginger - 1 green chili - chopped, 2 tsp red chili powder, oil - according to use, salt - according to taste, 1 cup cheese - crumble",65,North Indian Recipes,"To make paneer and green pea paratha recipe, prepare all the ingredients first.
To make paratha flour: Now add wheat flour, salt, oil and mix in a bowl.
Add a little water and knead the dough.
Cover and keep aside.
To make the masala: Heat the oil in a pan.
Add cumin seeds and cook for a few seconds.
Now add ginger, green peas and cook half.
Now add cottage cheese, red chilli powder, coriander powder, mango powder, salt.
Mix well and keep aside.
Let it cool down.
Now take a little piece of flour and roll it out.
Place the mixture of paneer peas in the middle and close it from all sides.
Now coat it with dry flour.
Take the vine again.
Only fat, or else spices can come out.
Make all such parathas.
Heat a griddle.
Put paratha on it and apply ghee on top.
Cook till it turns golden brown from both sides and turn off the gas.
Serve Paneer and Hare Matar Paratha Recipe with Coriander Mint Chutney and Tadka Raita for an evening snack.","turmeric powder,salt,wheat flour,mango powder powder,ginger green chilli,red chilli powder,water,oil,coriander powder,cheese crumble,green peas",11,262.97,24.33,7.98,14.62,3.77,4.0,142.52,127.65,1.7,1.69,29.0
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"1 Onion - sliced,4 teaspoon Ghee,1/4 teaspoon Black pepper powder,1 tablespoon Badam (Almond) - paste,2 Bay leaf (tej patta),Salt - to taste,1/2 cup Fresh cream,1 inch Cinnamon Stick (Dalchini),1 cup Milk,2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1 teaspoon Garlic - paste,1/2 teaspoon Lemon juice,2 tablespoon Fresh cream,2 teaspoon Ginger - paste,500 gram Chicken - cut into pieces,2 Cardamom Powder (Elaichi)",180,North Indian Recipes,"To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it.
Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well.
Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee.
Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes.
After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed.
Strain the methi leaves and sprinkle on the gravy and stir it well.
Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving.
Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family.","salt,bay leaf (tej patta),ghee,milk,gram chicken,onion,lemon,badam (almond) paste,cardamom powder (elaichi),black pepper powder,cinnamon stick (dalchini),ginger paste,kasuri methi (dried fenugreek leaves),garlic paste",14,152.87,3.13,13.52,9.57,2.11,0.69,97.08,50.37,0.82,7.46,32.64
Spicy Lemon Chicken Kebab Recipe,"2 tablespoon Extra Virgin Olive Oil,1 Red Bell pepper (Capsicum) - cut into squares,Salt - to taste,1 Onion - cut into chunks,1 Chicken breasts - cut into cubes,1 teaspoon Red Chilli flakes,1 Lemon juice,1 teaspoon Black pepper powder,1 teaspoon Dried Thyme Leaves",90,Indian,"To begin making the Spicy Lemon Chicken Kebab Recipe, thoroughly wash and clean the chicken, and cut them into cubes.To marinate the chicken, in a mixing bowl, combine the chicken pieces along with the bell peppers and onions and lemon juice, dried thyme, red chilli flakes, pepper powder, olive oil, salt and mix well.
  Rest it for at least for about 1 hour.
 Once it is well coated and marinated, start skewering by first placing the red bell pepper, a chicken cube followed by a onion chunk, repeating the sequence one more time.
Ensure the skewer is not over crowded and packed.
Heat a grill pan, drizzle some oil and place the skewers and cook for at least 25 minutes.
Keep brushing the extra marinade over the chicken and keep turning the skewers so that it is evenly cooked.Serve the Spicy Lemon Chicken Kebab Recipe, along with tzatziki dip, sliced onions and green chutney to make it more interesting.","salt,red bell pepper (capsicum),red chilli flakes,virgin olive oil,onion,lemon,thyme leaves,black pepper powder,chicken breasts",9,729.41,1.11,3.71,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,"Butter - as required,2 Carrot (Gajjar) - peeled and grated,1 teaspoon Baking powder,3/4 cup Sweet corn - blanched,Salt - to taste,5 tablespoons Del Monte Sandwich Spread,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,Black pepper powder - to taste,1 Green Chillies - finely chopped,3 Whole Eggs,1 cup Whole Wheat Flour,1/4 teaspoon Baking soda,1/3 cup Curd (Dahi / Yogurt) - whisked",55,Continental,"To begin making the Carrot Corn Mayo Pancake Recipe With Sandwich Spread, first prep all the ingredients and keep them ready to make the pancakes.
In a large mixing bowl, add eggs, yogurt and sandwich spread.
Combine very well until creamy.
Stir in the grated carrot, onions, chilies, corn and season with Salt and pepper.
Mix very well.In another bowl, add flour, baking soda and baking powder, mix well.Now add the dry flour mixture to the carrot mayo mixture.
Mix to form a thick pancake batter.
 The pancake batter should be of thick creamy consistency.
Stir in the chopped coriander leaves and mix well.
Check the salt and seasonings and adjust to taste accordingly.
Heat flat griddle or pan over medium heat and grease it with a little butter.Pour a ladle full of pancake batter and cook for a couple of minutes.
Gently flip to cook on the other side for another 2 to 3 minutes.
 Once you notice the pancake is lightly browned on both sides and cooked through, remove from the pan.Repeat the same for the rest of the pancake batter.
Once done, serve the pancakes warm.Serve the Carrot Corn Mayo Pancake as a wholesome breakfast on a sunday along with a Bullseye On Toast and bowl of fruits with a cup of Espresso Coffee.","baking powder,wheat flour,salt,coriander (dhania) leaves,black pepper powder,carrot,baking soda,curd,onion,del monte sandwich,sweet corn,eggs,green chillies,butter",14,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43
North Indian Style Mushroom Matar Masala Recipe,"1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,1 Tomato - paste,1 cup Green peas (Matar) - boiled,Water - as required,2 sprig Coriander (Dhania) Leaves - chopped,1 teaspoon Coriander Powder (Dhania),1 Onion - chopped,1 cup Button mushrooms - chopped,1 Green Chilli - chopped,Asafoetida (hing) - a pinch,1/2 teaspoon Red Chilli powder,1 tablespoon Ginger Garlic Paste,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Garam masala powder,Sunflower Oil - as required,1 Onion - paste",40,North Indian Recipes,"To begin making the North Indian Style Mushroom Matar, heat oil in a heavy bottomed pan.
Add cumin seeds, mustard seeds and asafoetida.
Let it splutter.Add the chopped onions and cook it for about a minute or two.
Next, add the ginger garlic paste and let it cook for 3 minutes.
After 3 minutes, add the onion paste and green chillies and let it cook for about 2 minutes.
After 2 minutes, add the tomato puree and all the masalas including red chilli powder, turmeric powder, coriander powder and garam masala powder.
Let it cook for about 5 to 7 minutes.Meanwhile heat a little oil in a pan and stir fry the mushroom for about 2 to 3 minutes and boil the green peas till they become soft.After this add the stir fried mushrooms and boiled green peas to the gravy and add a little water.
Let it cook for another 10 minutes.Once it is done, add the chopped coriander leaves and serve hot.Serve North Indian Style Mushroom Matar Masala along with Dal Makhani and Pudina Lahsun Lachha Paratha for a weekday lunch or dinner.","tomato paste,green chilli,coriander powder,mustard seeds,asafoetida (hing),green peas (matar),red chilli powder,water,onion paste,ginger garlic paste,coriander (dhania) leaves,onion,cumin seeds (jeera),button mushrooms,turmeric powder,garam masala powder,sunflower oil",17,70.77,5.33,2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07
White Vegetable Kurma Recipe With Coconut & Cashew,"2 Green Chillies,1 teaspoon Poppy seeds,2 teaspoons Sunflower Oil,1/2 teaspoon Whole Black Peppercorns,Salt - to taste,1 teaspoon Cumin seeds (Jeera),2 Cardamom (Elaichi) Pods/Seeds,7 Potatoes (Aloo) - chopped,1/2 cup Fresh coconut - grated,1 Onion - chopped,1 Carrot (Gajjar) - chopped,1 teaspoon Fennel seeds (Saunf),6 Cashew nuts,1 tablespoon Ginger Garlic Paste,3 Cloves (Laung),2 cups Cauliflower (gobi) - cut to small florets,1 Star anise,1/2 inch Cinnamon Stick (Dalchini)",30,South Indian Recipes,"To begin making White Vegetable Kurma Recipe With Coconut & Cashew, wash the vegetables - carrot, potato, cauliflower,  chop into small pieces.
Keep aside.
Keep the potato immersed in water until use.In a mixer jar, combine the grated coconut, peppercorns, green chilli, fennel seeds, poppy seeds, cashews.Add little water and grind into smooth paste.
Keep aside.Heat a kadai with oil and add the spices - cinnamon, star anise, cloves, cardamom and cumin seeds.
Allow them to sizzle.
Add ginger-garlic paste and saute until raw smell goes.
Now add chopped onion and saute until translucent without turning brown.
Add the chopped vegetables and saute for a minute.
Pour the required water for cooking vegetables along with required salt.Mix and cook covered in medium flame until the veggies are cooked through.
Then add the ground coconut paste along with required quantity of water for the gravy.
Check for salt.
Cook on low flame for few minutes until it is combined well and starts boiling.Remove from flame.
The delicious white veg kurma is ready.
Serve White Vegetable Kurma Recipe With Coconut & Cashew along with Muttai Parotta Recipe ( Ande Ka Paratha / Egg Filled Flat Bread) and Kerala Style Egg Roast Curry Recipe","cashew nuts,salt,coconut,fennel seeds (saunf),cardamom (elaichi) podsseeds,cauliflower (gobi),black peppercorns,carrot,ginger garlic paste,onion,poppy seeds,cinnamon stick (dalchini),cumin seeds (jeera),cloves (laung),potato (aloo),green chillies,star anise,sunflower oil",18,83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67
Bengaluru Style Brinjal Gravy Recipe - For Biryani,"Salt - as per your taste,2 teaspoons Sunflower Oil,Coriander (Dhania) Leaves - for garnish,1 teaspoon Mustard seeds,2 Onions - roughly chopped,1/4 teaspoon Red Chilli powder,1/2 tablespoon Jaggery - powdered,1 tablespoon Whole Black Peppercorns,1 tablespoon Ginger Garlic Paste,1/4 teaspoon Turmeric powder (Haldi),4 Tomatoes,1 Brinjal (Baingan / Eggplant) - cut into big pieces,20 grams Tamarind - soaked in hot water",90,Karnataka,"To begin making the Brinjal Gravy For Biryani, first soak a lemon sized or 20 grams tamarind in hot water for 20 minutes.After 20 minutes extract the pulp of tamarind and keep aside.
You will need 1/4 cup of tamarind pulp for this recipe.
Add roughly chopped onions in a mixer and make an onion paste.
Remove and keep it aside.
In the same mixer, add the tomatoes and puree them.
Keep aside.In a heavy bottomed pan, add 1 teaspoon of cooking oil.
Let it warm up.Once the oil is hot, add the chopped brinjal till the skin becomes slightly brown.
Once they are browned, remove from the pan and keep it aside.
(Browning indicates that it has cooked halfway)In the same pan, add one more teaspoon of oil and add mustard seeds and peppercorns and wait for them to splutter.
Keep it on a low flame as the peppercorns might sputter everywhere the moment it touches heat.
Next, add in the ground onion paste, ginger garlic paste and saute for a few minutes until the raw smell of onion, ginger and garlic go away.
Next, add the tomato puree, tamarind extract and salt according to your taste.
Cover the pan and cook on a low flame for about 15 minutes.
Open the pan occasionally and stir so that the gravy does not stick to the bottom of the pan.
After 15 minutes, add the powdered jaggery in to the tamarind gravy and give it a good mix.
Finally add the half cooked brinjals, 1/2 cup of water and cook till the brinjals are soft.
Turn off the flame and garnish with coriander leaves.Serve Brinjal Gravy For Biryani with Hyderabadi Vegetable Biryani Recipe or Ambur Style Chicken BIryani along with a Tadka Raita for a delicious Sunday Lunch.
","tomato,salt,mustard seeds,brinjal (baingan eggsplant),coriander (dhania) leaves,jaggery,red chilli powder,black peppercorns,ginger garlic paste,onion,tamarind,turmeric powder,sunflower oil",13,125.59,6.31,1.75,10.35,3.73,1.96,312.86,39.65,0.75,17.05,27.6
Paneer Capsicum Sandwich Recipe,"1 Green Chilli - finely chopped,Salt - to taste,1/2 teaspoon Black pepper powder,200 grams Paneer (Homemade Cottage Cheese) - grated,2 tablespoons Butter,1 Green Bell Pepper (Capsicum) - finely chopped,1 teaspoon Chaat Masala Powder,8 Whole Wheat Brown Bread",20,Continental,"To begin making the Paneer Capsicum Sandwich Recipe, grate the paneer using a handy grater and place it in a big bowl.To this add the finely chopped capsicum, green chilli, chaat masala, pepper powder, salt and mix well.Now place a small portion of this mixture on a bread slice, spread it evenly and place another bread slice over it and press it gently to seal it.Similarly prepare the rest of the bread slices with the fillings.To make the sandwiches, heat a skillet on medium heat, apply a little butter and place two sets of the sandwich prepared over it and toast it until it turns light brown.
This will take around 2 minutes.Apply a little butter on the top layer of the bread, flip over and cook the other side for 2 more minutes to turn it brown and crisp.Similarly, toast the other two sets of the sandwiches.Serve the Paneer Capsicum Sandwich Recipe along with Papaya Banana Shake for a quick breakfast or along with Masala Tea for an evening snacks.","wheat brown bread,salt,green chilli,paneer,chaat masala powder,black pepper powder,green bell pepper (capsicum),butter",8,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42
Dry Suran Masala Vegetable Recipe,"1 Onion - sliced,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sunflower Oil,Salt - to taste,1 teaspoon Garlic - finely chopped,1 teaspoon Coriander Powder (Dhania),2 Green Chillies - slit,1/2 teaspoon Black pepper powder,1/2 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,1 sprig Curry leaves,1/2 teaspoon Cumin seeds (Jeera),1 teaspoon Ginger - finely chopped,250 grams Elephant yam (Suran/Senai/Ratalu) - sliced into 1 inch square pieces",35,North Indian Recipes,"To begin making Sukhi Suran Masala Sabzi Recipe first prepare the yam, remove the hard outer skin and then slice yam/ suran into one inch square pieces.
Soak the sliced yam pieces in water and keep aside.Next heat oil in a non stick wok/Kadai or a deep pan and add curry leaves and cumin seeds, saute for a minute.Add the sliced onions, ginger and garlic and saute till the onions are translucent and softened.Now add the drained suran and saute for a minute.
Sprinkle some water, salt to taste and cover the pan and cook the suran and onion masala on low heat for ten minutes.
Once the suran is cooked then add all the dry spices like red chilli powder, coriander powder, jeera powder, black pepper powder, garam masala and stir the masalas in the suran.Stir fry for 3 to 4 more minutes until the masala gets well coated to form a delicious tasting Sukhi Suran Masala Sabzi.
Check the taste and adjust the salt and spices accordingly.Once done, turn off the heat and the Sukhi Suran Masala Sabzi to a serving bowl and serve hot.Serve Sukhi Suran Masala Sabzi with Dal Palak, Steamed Rice and Curd for a healthy weeknight dinner.","salt,elephant yam (suransenairatalu),ginger,cumin powder (jeera),red chilli powder,curry leaves,onion,garlic,cumin seeds (jeera),black pepper powder,coriander powder,turmeric powder,green chillies,garam masala powder,sunflower oil",15,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe," 1 teaspoon red chilli powder, 1 onion - finely chopped, 1 teaspoon coriander powder, 1/2 tsp turmeric powder, 2 cups water, 1 sprig curry leaves, salt - as per taste, 2 tomatoes - finely chopped, 1 inch ginger - finely chopped, 1 teaspoon garam masala powder,1 tsp coconut oil, 300 grams chicken breast - cut, 4 long garlic - finely chopped",40,South Indian Recipes,"To make One Pot Pressure Cooker Chicken Curry Recipe, first heat coconut oil in a pressure cooker.
After heating, add curry leaves, ginger, garlic and cook for 1 minute.
Now add onion and cook till the onion becomes soft.
After the onion becomes soft, add tomatoes, turmeric powder, garam masala powder, red chilli powder, coriander powder and mix well.
Now add chicken, salt, water and close the cooker.
Cook till 3 to 4 cities come.
Allow the pressure to drain on its own.
After the pressure comes out, open the cooker, remove it in a serving bowl and serve.
Serve the One Pot Pressure Cooker Chicken Curry Recipe with Tadka Raita, Cumin Rice and Phulka for dinner.","tomato,turmeric powder,salt,ginger,red chilli powder,water,curry leaves,garlic,onion,coriander powder,coconut oil,chicken breast,garam masala powder",13,129.22,3.38,11.79,7.57,1.79,1.41,108.0,27.29,0.87,16.79,38.7
